
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2009-06-26;19.093,29;4912942487032;21.633,83;3931410583366;20.950,85;5563231391445;39.374,45;791610792362;19.108,21;7413683411447
2009-06-27;19.093,29;4912942487032;21.633,83;3931410583366;20.950,85;5563231391445;39.374,45;791610792362;19.108,21;7413683411447
2009-06-28;19.093,29;4912942487032;21.633,83;3931410583366;20.950,85;5563231391445;39.374,45;791610792362;19.108,21;7413683411447
2009-06-29;19.093,29;4912942487032;21.633,83;3931410583366;20.950,85;5563231391445;39.374,45;791610792362;19.108,21;7413683411447
2009-06-30;19.177,52;4932956007063;21.718,83;3943310873021;21.032,49;5583073083621;39.523,36;793774817306;19.182,09;7442899323570
2009-07-01;19.196,67;4936631613724;21.732,22;3944394609599;21.041,86;5588312591852;39.538,13;791993475099;19.193,90;7442941894055
2009-07-02;19.253,88;4950197373427;21.824,82;3961842937231;21.120,68;5608929395338;39.669,53;796931229947;19.264,44;7467058412363
2009-07-03;19.240,21;4946749884689;21.784,37;3955666269884;21.072,47;5596423861096;39.591,60;795245491097;19.227,94;7452977204985
2009-07-04;19.240,21;4946749884689;21.784,37;3955666269884;21.072,47;5596423861096;39.591,60;795245491097;19.227,94;7452977204985
2009-07-05;19.240,21;4946749884689;21.784,37;3955666269884;21.072,47;5596423861096;39.591,60;795245491097;19.227,94;7452977204985
2009-07-06;19.245,85;4948535813511;21.793,49;3959955186744;21.076,88;5597534427316;39.609,71;795620937339;19.244,07;7459831025921
2009-07-07;19.189,66;4933607653609;21.750,43;3949983324855;21.036,59;5587668330528;39.519,29;793847208934;19.205,13;7445398689127
2009-07-08;19.178,17;4931408798505;21.719,69;3944722238061;21.005,41;5579656306343;39.477,18;793041843495;19.184,17;7436294553857
2009-07-09;19.109,85;4914018759706;21.653,48;3933903402399;20.948,36;5565441295070;39.374,30;790946621884;19.136,19;7418914839655
2009-07-10;19.135,59;4921597794344;21.684,42;3941076987941;20.987,61;5575455387070;39.425,35;791708493645;19.158,88;7428973395271
2009-07-11;19.135,59;4921597794344;21.684,42;3941076987941;20.987,61;5575455387070;39.425,35;791708493645;19.158,88;7428973395271
2009-07-12;19.135,59;4921597794344;21.684,42;3941076987941;20.987,61;5575455387070;39.425,35;791708493645;19.158,88;7428973395271
2009-07-13;19.123,74;4917497605168;21.682,68;3939683618094;20.976,87;5573189886282;39.407,38;791343585467;19.158,06;7430245154113
2009-07-14;19.149,01;4926256015461;21.725,01;3950119437729;21.025,26;5591791291207;39.465,08;792735480838;19.184,01;7439512616036
2009-07-15;19.272,31;4965611166656;21.852,53;3980945432812;21.156,52;5631168819298;39.683,92;794974473661;19.297,97;7481168653754
